id,CO_CHAVE_ACESSO,DT_STATUS,SITUACAO_NF_CO_SITUACAO,TP_ORIGEM_ATUALIZACAO,CO_CHAVE_ACESSO_CANCELAMENTO
102,K8OEOVETNNC6A855S6P80CWE386Z071WMFTQEZVPAAPTEKEAC30S547DKTUND,2019-01-25,A9,2,9JNRYYZKW5WV00GEBXI45O9ZDQVSZV1TRQ6HCGO9QBEW9TGL2U8SL3L8SM3MS
103,VX8UN504MWGQRE70ZL7ZVU5AQOI03LHYFYAIJUTE83GNZZUUIRZ55JTHL9B4W,2014-05-30,MSS8BVX,3,NXJA2WXD2W6D6OXI01YL5WE5ORGAWI7F68TQXJGVPQ5U4KK9O44JYLUB861VU
104,SK7R2WSRXI0GNC26M39DUUPHCYOFO9JLHMR9YJC8XXDUPQX2BLXTOES7H7KNK,1998-11-12,UJ1WDAOKWX,2,FC8AKV5RQUJQ6TF4YK1OQXCMHSFY2TN15W71UFTL5COORRTD9S9VS783E1DWJ
105,SMJ1TZYI6JAKPRXWGUHYQMLCOCWA2JFD4X6BTKIJMZZSW39ZCABNHZ65K88XC,2003-03-17,66D3K,1,NDOG13BI00711R3XGDUJRWEYA7UQ68P85HD7HSX50B13QE183P9JYCNQL013N
106,HX0EH3GAPF2316O9H1DS5M0Y00V5F53S5JEL40PO3D8MAGCKJB536TKP7BCCP,2010-08-20,NGE5PMRNEV,3,55DOVVRNAS4N1Q8YJ3ITGMX69JBT8HRSTIWIIFFUWPXFOZ16BRTQP70MIBBZT
107,6IFV87UBKX4IFTEY9LJ9QZ9MCDPN2CYGQEHX8Z982FEIJ3GX2K2EW1Y17PK1T,2018-09-13,GWG0FQ1CK,2,FHX2TS39SPCWRBYTLW1I8H5QBXHUHW2AU2TK1JJKC8UM5KE581TP0KCFLXGOW
108,E2MUYF25EJE2MN7AT2LJ4D1GBEQV17BTMIWRLX15P6GEOFCDTVVGIZ8F65YEL,2017-08-25,Y0C4RB4FJ6,2,KMD21T1L3VJ4SUT96V3X7TMYGK6T0WOWXHQ39YRXS7WOR9B8JAAR1VW0R6IM4
109,MXYVBXDAFOBFQSGB2OXA72FVDQM6A77Z6JHERWGE6RWU4HODUF7GJRWFI9U4I,2018-10-13,FMNE2,2,WXAJDRZFPQLWYR6RTOS80OEYG5810ARJLLPH8YZ08H1NSGD5EXM2CV0D7XNAK
110,S840FYZV1J3GR6LZCDTNWLF6KJPDHREO1HTLSZ0J8I9QLWE99ZRP96VIXKWLJ,1990-03-28,N,3,99GMI7PZEN381FXNTIGPLW6S1YOOGNCE3WRGPDNAK96F055SDB8M929XE96HF
111,N7PAARRQ7KTFLQUXX6I3WA7DYOXP8MT4QOG0QQ7GU0V38219NE9D4QXTQXGPU,1998-07-10,JN,3,8ZW0ANSD8OSK4JWCAQAJ71S2EKUBPRFUQNBBH7N2NTB5QXFWY4LFFD82X328R
112,0QL6WF02EUBKF52JUW9AJVNY76YWXE2TKCW8RCM21SLERP4CULHGPP9SSGWE3,1990-07-20,IDSW4,1,F8HNQOIHXZ5DR0K4EY1DJZIRPO08M1VF1TCYBKG0CSIQVRAPM2BZVM5WT6C7C
113,MZO6AL1XERA2PVI47ILABX6EN1TZTRDJ6EZ50Y02CGKZDPLF8YIAGKHKLEYZE,2020-07-21,B,1,GOJUK9TVR8SE643PY48PIWEJS45FG9FHKLI8GJ3FX66YE5H1RJULISF2DEB5Y
114,2JNKQN7Q6K5YJGREAM7NWXB31CEP67O54FZDOP72N9GS4V6IXU6MS16YLTGKA,2016-08-03,E9X592TJUK,1,SJSYQGEXEXSJOTXORYKOXRJ7KJS3RBTT29KYYLX273SO56MN9H01PFA7XC9XX
115,SJM4VSKQBC4FKJNVUTCRN1WF4TOIVZWL3038PWE6PEXMCMW16PUWI1H9YBFUF,2000-11-13,8CQAW9VBX6,3,U6IDFDU5QGXSYMY2KRUV5KKZU4THZ0QVIMXQDT8NWP5O6197X24UN89U3CGOV
116,JWIH1568XANRV6OA5D2J1BLGCBB01G7GRO03WRXFD81M79VNCJ6J16D6K50X1,2003-07-30,BYDUVAZS,3,518G2H3ADUW611LPNKHVKCJ4N4FP6UD2G9ZL8X4B9F4175S4B9FF8E2QNBB7H
117,AJ4AKQGLC4WC600R22VIT5CM3CLESN4GSRROHIDPBB19LJYO256NMYGUGCD0F,1990-03-26,G9YVKXTI,3,NWCWKRM5HPM79CWELHW1DX0CVYARADW28W50ETGO1JFN170Q2W49WHCGHHM0B
118,LB5V8X0HPRTKW7LASJATWO56EO8SGKYO6CXIR10NAZ4IEG2U85MQE2O0CSXMT,1990-12-14,C,2,GZKTJTB3FXWWY0BFVKKA4AK078NUX1GP7AHQFHOCMRQ33VAP54K6STGCD71FL
119,UIPA1C8LXICG5L1JTAGLQKP7FEE3HGLME7W51ZT2FOP26PMC4A7AHPF97C4C3,2016-10-04,6URK4TMU,1,80H4AXKZAK7N3IQ8Q3PSRW2A8EGMADDRWUCIYSW08Z85JD1JRH21WKM46Z1U0
120,5509DIBILAJGTJTQNY62S1M29LMO596YZQXDQ3YJJ7SHYYMJLGE3DWBUHZ9P1,2000-04-29,EERE0H,2,0UN7JZD7CNMA42MSKLTV7R8V7MH3U0FZM4D8TQY3KD1G3NEVWH5S43GOYCC6X
121,6B662XTTBNC8MA4Q0VZ8J46T5H9SFT1EJ6ST2BAJX989RTJTB2OXXTKH6IJWZ,1995-09-05,95ESL,3,HEN8FZGADQB9YLAHM0PJ5PY08ATP91A93DP50IE4X2FEHC0AR469I2J1MGCRX
122,1XI8ASNXIGHRSE57LP8AZ4USK6MWK5MLK3MXGBXZPTY5PSVWNY4PRIBUA4KT1,2004-10-18,A,1,B7VWPCPBXAX2Y8EGIWPWMVCCK9RF8Y1NG05UM7FC5M6E8ER78I741S48CCAAL
123,7R8GKL5IOILBUYD1MW3O1TZKT3NSO1A0JDF2UZTSYIPMVUIII8UOGX5LA1LUB,1996-06-07,91VWE,1,VN46AQ5M8QTDUPYCSLJVSDUPP3N7YYP70TT5HXY880S7KYDFTBN3ABLAFG9RS
124,6H74IDOELXDD7CTPUYJAAL9NACAYHULTTF91K5DJMM3L476CLMLAKH99H2ZM4,1992-03-19,863,3,EOSMA2KGP9U6RZ9WINF24FMXPWOCFAANK8R1BOUAGZNX4B5J6YZI1IQN6SXDE
125,8TJADB34CQERGSW6GF9NB68XLN4VTS5Z4HRGXFX3USHLWTKRXYGN7FNXK6W3E,2008-03-20,UWHOFZ,2,UMLI6BXHAZBMT4KWJ21NXHCUL8EVE0FYPPROUCD0E7MZ1XY6AUH1M0CQVQI51
126,NH2BOB9X0NMAIQRHX1VXTHQVPKEEDHX6QT62PJFNRZZYI7E8EAG7HD4YLMJ0Y,1997-06-27,DPOGE1,3,L0KCRKPIDM3JD9A0C6EBDEEWWZOFNANG20DXNW12LLQMAY7PFETN9H93RZLJ6
127,76FJWPGTNDMG7DUTNGAWQBBU9Y73ANSVV6BE87JW75Z2UG0QDEJSV2R0010SJ,1994-08-30,FT5HZGJ,2,N9COL82FVQ26I9ZQJWCMOBAL20LOK3A6EX2DNBVKWLYRKE3ADX0PWKZ6ZRCO4
128,NHMYFMRAXDL4JUVGBG47WDPXU5XD4K4919N10VTKF3Q3MKOZIP0QCDS14A24G,1997-11-03,W6,2,YA1CY152SKT6OSSUKHJAMGR3LKDF4V4YNJ6Y0OAESQZI2OCVW88Y9FC5WU9X6
129,8BN5K14U8TLURJIMUHIHIGD8903TTJVJ7R9VVHYM0ADJGY0E3Z9FXXRW7EZTA,1994-09-16,OY0KTN1,1,5NQJWQ9XDQ0GYAFLAJRIZJKU6B6B422UTKWLMDP74XC09OH0YEP7A3K2B9HKH
130,H8Y0HWFUPUU2U1FBDT3TLFY8YWDA3U04BVQ44P4AQCD6J9EYC1BH8CS923IPR,2012-12-08,SNVEO,1,0JZDHHGXCPHGPIBBV9QRQHXPIPTHWI0Z7MM3GVH2RX7941N1K4OCA989N4CN3
131,R7UI9EQKI75677TUFG1IJ6NAOXFFGKSDMWM6995TTCW0MZTKML2NQIA767NYV,2016-02-03,PQC1AP,3,Q4B1DC9YA4RMCD2J4L396DUUQDB48T0JV00JH4XE4SP42CN9ZU534FM7YYM4S
132,OI6PGVE4YSW4GRUULZ71Z06AURAHMG6FHMQ21DG66APRUOXBAX9AICAJYQJ8N,2020-09-13,OBQ9,1,PP20Z0H37FPALFOGGN08Z1WVWGPW0MSEZUO694RI785SY5IVI0RFCX8BP8Y34
133,649GDAYYE7V8UBIJULG1VA8238UTYJ3JQ77Z9XSXXZZOOFB85FIVY2425H13A,1994-02-19,PLSQIEY,1,60H92MKOUC3M0RLYNX10QFJEABGCPW16XXAHN9HXLE78RQD4NM03CL3JFAWEU
134,F2HUG17W5JUJJYUNGM92CJICNMC24G0H5C1RVKRU2ALE2IRWG76AJFTME2Z3W,2020-06-28,RRNR,3,13774DVBB4FR0QTQIFRXVWCNTFALLBM3E8CZZTONKI7V36DYQCD4V8UQNJ4WU
135,OCPMEIZ44GNDPYF33OW4GPYZBO4DM6HASLRARSPCJM53DSS7FSEDOVE4O7TUO,1993-08-04,0LCK4N1W2,2,66RWPRVPJNARMDD8YTVKXLDYOZNXIEZ2OBNIGZVAL7AQD5GVV0RC1O7X0J8J5
136,79ITPDMQ3KMTLFZCDXWFJTD1ML2CRQEFPK3HPKG2GACMZAG73BKKXES79CRDY,2012-07-18,RPTBYPO60K,3,8U4W52R3W3ZJVJZW0FUC7LCHC7TP6HD11RLBPGNKVI4Z0K0OLK8TYBFVVFV1E
137,11EEDVZELRRJ94DKLNUNPQ9BO0QS81FESJ6VG51ZMTZ8VJB90OQMA9BYASBEY,1996-11-12,8LJSZ6SOY,2,REICL3U9TF6FWWENOJQV7VJ95R4ZAJ3ABHBMEQB3FNP7GNCWP9G6N8KI5SJQP
138,LYS3YF6K6FGGUBB7230TG4NUM070V7Q87FPQVZP7A5BW3FKBGMZTIKZD1E1OK,2018-04-21,2NO1X,1,GPJDOFRB1ARFZ7M3BSGECJB59GN9L76NPX7VY0PIWTST1TQVXGXY0INIOMZI5
139,LVETLI1EZ7Q7QCGCJWVEUFKEGJ5QX7USHY8YX233YKG3HMS85L3WO0CIKP8AE,1992-03-06,V7DG65JX,3,IPMIZSGBKNRUMWBDADJDWQL6PPMSUNMKFQ7GRU878KCJPXHJS392W862H8ZFX
140,4EMW7UK2LM5PGY55SILJV1JV94Z8ZG8RT8IRXFGVCMDB3AZ57PTEG6CYIJCXH,2011-07-08,F,3,MTWMRZS43KBHX1IA9SLCUQ4QQAT3PLO2VYFCQL0J77P8QLXP44BG2HXXM1ECK
141,0KJYO7XLHD61MY79I3P4KCTX0EBUEWEGF90A6TQNXRH7YWD3OO42SWCFKH0G8,1998-03-18,2IJD,3,U4H1XNX0XZFT31HIEESOTZJWBYNJCPIPH18TBCK8BLEF91GECNZJPLJUM7TJ1
142,8EAEUND0O1BA327KB0JIG9UYKCBQCZ3YUVVDGR1B6YRSB1HC2YAMO0DBCFE0O,2012-09-07,1ITOLX8,1,LSPF1AEUTS65W2NIERN0KXAEPVLDIEXSSMA34RDBGJ2VL4PB5TU86FGBQ989Z
143,89EG0ZNIU341X3ENBC4SNRBMK2YUJP206HSA2NJ7712N1X7A66DYAEESFE5W1,2012-01-28,PTHGT,2,60THNE8Q5A962B3FLQV4GD2U3TD2QGKXB0KEXVK661J3Q2I54YRSBYAPJIQ8J
144,LC2KMW80BRDQXGQZ2D1G6MRPCFLH2HJOGMTGVJLIGFV3HRWOJJ5RIV1OMJM4I,1996-06-10,IQ,1,B108TETKLXUQDJIX0OK11S5R4Q4U41KNYDFM8LZ2FHM50VAUDGGEZBDW7J48V
145,WN6QM37MS76QXR30MMUW5A5KQV3XGFXQWD6PKWADJIYL825YFTUZCBF427XOO,2004-04-28,M2F7PX8AJH,1,2VUJ09VS2S4HX1JLSFIH3RF84BYT6RSKGYBR6T7RBIQGF8YQ9HYSSXEC3QJBN
146,IJ53XHBC6EK3BZGA7H56WRQP16WMV03EKR6IR3QOTDYRR01U7Z8RSA8U3I9LX,1990-10-31,Q53K,1,P41SYJ0V95WIEX4HHF8NZV2A949IOY9C16TF2CNN3L1A2HJ88MVNIJLMTP2KN
147,GRTLOR2Q74N24TXVNQ3RENXU8V26UNDOAWJHCIR30ZWFDJ2VYCX5QTNQHINT0,1998-12-10,5TTTT8G,2,39M196P2JZRJ6PKJ7W3HSFBRS3F7QNKY84TTDKRBRA50DQZI04HIWWPC03MMV
148,MO4D0YNTZBU0ZPJ54F9JEI738YV9Z5VGV1CY5KW7JTCULVNP0Z8I566NI83Z1,1994-08-11,L544NK91CR,2,1MIQRZ4RI7W8E02B6PB5F2GU6WY4K56SE73V1SNWGG0RS1S2ZYJ0YXKHTYU9U
149,T89B3OK70XIV8JS8QZDPH8QH3O2AOF1H2VUIBCQJXVUGH0I43GYDJO6WEZ67S,2010-12-29,S,1,WTBAGP9V0D0S02YKTVT89GBIWEM05VB66GSNI58TSTMJW8OH3NAJAXHLSWTKR
150,M1PKXJKVOD9YHB1EBNR4K8EDC2JBJ9X1A0836K6WTC5MYK0YV209EGA9GWOUC,2005-06-30,A8Z,1,LXG0XQSSKZU0RSMJZ837L1W3GK6JY8DFN2WQ7YTY1FOGRN91PBG7P5HWE7KQG
151,HJNQJZRKYFY1CJISTRUJ8UE4DY30HITLW5FYU0RQIMUV2J8J27WMU7OUOSVAL,1998-11-17,EUGBXSUR,3,UUARY9RM3G3BYKBDXBOW4RY77NVAQXPOISJCDQFD4H9W3VI22H9Y0CUOE4AKB
152,531P7SMH2TLBX7QBTY698S2YSHT6GL3GJMM707EPL2M2C9238Q364DZL7FCAR,2008-05-13,TIND,3,0CK1HI1WDP01YYSAWJE9K36WTB4SA4ZMAXSKX43A3GIVY4A989BJZ0E2B71SM
153,TXN3762CI4L660TMWNEE7ZAWPXCWTXBUMCPB7XTPCMBI6QASOVMNMNGAO3FUC,1999-03-20,X0G7,2,179ZKLRKZO5LG4MPZF2OXW0JIDPTBSA0VG4MJXEMA9ILW4PXHJ5XFQ8IPDHUE
154,EIXLS6QMC3L66XGKQGH8QRZGEP3P6PX79Y6AL3PQHQUDAPLJHLIDJBLZMOEMC,2006-08-29,5WNOPGXED2,1,ASFSHZDZ9G56BQ5Z8S930QVFGB2UUD98LP56ZXWEVHNUCUCCV4X0FCUIZDK23
155,TTAKWI511BY3NIVL14Z2C3UWO2GB22EW52GOVWA3HYUQOO549JB4NLB3M9T8K,2013-06-23,8322N,2,AXENB0FRAEZ934Z3GNHZVU9OJVRW6KF4RPG7KYVX6MXWNPE5W8WYB5QVNNYAU
156,WGDW1CQYCA8LE1C00Q8V3PZTQTCAUAR1QWXA8414HCKS2AEZH4GX1B78LQSHJ,2020-06-03,H,1,ZB72NXSBI2KO6OFTIIL97O4B8C9T8OMH12K24FFPMM426N3SOJGR7T0ZNXPJW
157,PAZ3FFP7K8JIVBPRT8OOU7UWU19VMF81TB6G3O6EGV1MHJU7WCE2J9IJEIRYG,2006-09-04,B3Q,1,8TG2RAB9HCR1JTRBDX09UZZ8H1Q0MWJP3V15MB2I1WOPAU00WAN4DPQK2I3LU
158,Z2I8NMGLXBA1U9V7ZQPT8V312Z26WAHVZ3C682FNH2P5QPUK7O0LZ49X0EH30,2011-08-23,L5V,2,AF846V7DJVNHZO8HXXIMRRTG23MMLAHPIDDWCOPDCB6SRSZCB7VEF2YS4HFBD
159,P0I8M5WYRIZ6I74672GG8I5BJWS2PZ9WB2R537EESFMWSOR9B7A6KK5CX4QRU,2004-09-29,BQBKN,1,EWB8XTGPB4AJGJ6FNA0ZW1SAEFU9N9CYPFH0VXJN4850AEJSH5M0QKFONST1W
160,LU0UW0J9ZP9AAN21P8Q9QBXFGLHFIH5ZKXDDSO1TXEOI1KTZBCM43P8EUIWUK,2013-08-16,T3Z,1,0NROCTVRMRRJ4SYLPHD3I0BGGALN8XNIUDB8SB5GVGWIJLRU93NPFGHYC3UXJ
161,DI1THLNZU3A84WH4BSYX7HW0ZWKI21D6AU10DPAWMA9TMQNKCP1NBFGL2ZFDH,2007-08-13,SWHR5P7,3,68TKF3RG1GHLZD6PHDE65F7QCZUDF06RNF6ZYOCKY4D2QU6TFYE5SNCVNRI3E
162,04WCY79FUT4ZBN0S7C79XMMSF2GBNJZFVF12VZ64P9DFX33BZI1H8X2WNI2GB,2004-03-25,ZKO1,3,SNT0NHX8N1EQUBYE8D2WKFMT9O7R8LRUPS60XT359LVC5QPD8RUHE7TB51IT4
163,0KKR2CAP8NEDEGKLH3SKPWB9PT0H3TX21OJPQGLHITIF4KRR0Q1AKQUFG6NVF,1993-09-24,RL3,1,N0ZJ9AM7ALI1XGJ9KRM5ZJMXLY5U7QMFUV1QRC9V2QKMMV571YV7JIN53C4G6
164,J0KLV42PII751JYA4O51OWPG3018MLJ33YL0KYOOPI509DBQM8CCG1VH72L71,1997-07-04,T761DLI,3,F1XBPL275KQHLDIVX4XHPMYW5RAWY56RUWQNBYSRQCCCJ0H01YBMIEJXGQ3SH
165,YLL47YRGZFKUUHXLWY9XSWZXADWN12VVJNO0K1SIHXCSZZU8RO6CS4MV07GWO,2015-09-07,0,2,7D42XB2FKN0W1VC0YTO45MZL3NCSMKS1ITEKT8X603PQ2XSO4H6C970T04IYS
166,WDS396O8VFT2BW6NHFRBUZFVM9W3ZEU8ZYNVALYXJ4RC46KJ4IG40J83IQ4LP,2017-04-25,9APT,1,TP7ILHDHNURQRVIG3KTKYP6I3NB1C3HDK7Q7SK6CO3R2GWOZ9SA52Q5NZ8X7V
167,LFCUHH9MYCNIEXMHQL79FEFPII19MJ04G35Y88AT72MAV174KGPD86Q8C6X53,2006-02-18,QEB2FB1,3,5F9H5EQGTMKB2LSOJLFSTKRQJ5XZB1DZAX2ZXFZOKW785EBX6MK69N6XWDBDA
168,VE3DVEQ1BJ60WB6UZ9GHMUXJO90CT2004V9VTMHGCPFXWTMZDGTYKVZ8A25B6,2015-03-20,C8CYBHUCR,3,K90DEHSUG825MR230NOOTJDSK0J1XSH9VXNRWMANZXS75G0N9E2NRNFWX4JQJ
169,W5T3M4PRXEX4L1YR7IV4THX2GDPQXK5FH9P69YSEISDLOX2LB2D0MH36VE4I5,2002-05-16,V4NB6UCWY,2,ACIRMHDNRZ2DL6634IOHO1EF56Z2CXJAFWNF1TNMEJ7SASGUO5XJQXZWE80I9
170,1NK9GHEVQBJFQI9PR7GDOK56ERFY6PM605AJIRHF4J7ELKG7OKB8PS4BA5JOA,2007-09-12,CV9KHTX,3,ZOV1U5531LC0BBORE4OVV8BWW2DF9259T2PO7QWRP1JG6PNK5C055BW574T4Y
171,U9IPC3OKRR2SFO2SG07HNZO19G1TTUE6NOZJD0DSGOM5XROKZD3BFQWMQWZPS,1996-08-29,VWR8Y60V3E,2,KHVRO62O6MRL062JN82JQ8APIDHN9S5AZ8LTK9MDA32GO4X04D0ONLQN3CCHD
172,NJAU3492326X2GZWM6IWA9CJRJSRH0SA410XKY2LRGG28PRT82AS931BUZQS5,1999-07-07,M4WS,2,D60GQ7VABVX7JYQULOX8K15SC54SY1PVWERMNO3D4TM4YUAWZT788DGHLXFCM
173,J55TVOOWH2WYO75FC2BL6Q1KO2ZGDI4MJE10NNMR3T8NGNAYR6K1NOZ4U370C,2019-02-14,MJC7O,2,SIYY0GNKAH17CZXVZ2TP3MQ2VT8E9T4JX97CNKQXYC3MTBJO6FM4QZFV6ANLW
174,1VH529R891C1RM7OSAV825C2QNBYJUQPFWO4SJB39MGXEIVT8NFZO4JHQBKEI,2013-08-21,WF963AVO0X,1,KSHJCY0GTN3JG1XKO537X54MC936YLRHHXCW64AE7JT22RECJPBNQ5WS6BOS9
175,I4Z2UIPU87Q341XJYTG7QLZJSNWVAAA95XACK3B9SKXD0PDZSEFFMCBLKET8W,2014-05-25,TJVQ7NLX5K,2,0UV9A7MV6FSZVOBAHJFTBLQKJZA0HASCU5PZHTCXOGHGO6LJK2G4KMKZAGSWY
176,SM9BETNO6E0YNNUN36JDJJHMR9ZAMPTQMBPCUQ2E7GX4011DKD3J5NLTE8EAK,1994-12-24,EQVE7OSN92,3,FK51152T2OXXLH42CWFX9GCSV434C60HM0ZIDP6RMTLF56S6TF3K4Z34V9YGR
177,407K262VZ29X7NRHNNU649DI1D2N2KSDZELBZZCGLLOMBPQIAJ5LUSVZR7X47,1990-04-08,9C7QC,1,RQ9CS6F1AXZC5OVS0K5ESHJ46KP423TDSR85F1CTVZCNNEU3921OFPREUTM62
178,YK3A9DMT8F54F9CY67XCASPMD61CTF4HYY9GX604UWZN7FXDS0TNX7YC7PAZS,2013-07-20,P,2,TQFTCN89WHNEQSY6UQSLHHWE1TWGUP83WPPJ06VHEZ3ZXWEBS2YWX63UK2OE9
179,4NKEBQA6N6YKR1Y894MARZXBX8DANTFRR9BA2YANZ8ZLJYZZFB6BXIXGVPMR7,2012-03-21,94LPM80,2,P1IHCKHHGA672NKMXLORCVJI3QO7JLG3VUTJVOIEXVW07BWMNRAK5732F8PRF
180,TNS3MOI684Q42SXLWU2PYSUHU6AZL14H5HLTTMS89WIPH00Z8E4WYD5HWO03V,2010-10-09,PL9FZT,2,CWHZGL55L002D2X82UVLXWLW7O0OQD777G1K9MO6Z2YBQ6D51CRHARQ5WFQF6
181,A8O3XN2CVOK0BPK1C4FV36HGI4XS3Q8J8LQXQ38J3PI7BTO84TTDBL4X6TE6P,2016-01-18,WN,2,TH5UIOC15O57N4XMVXAH73NQ6RWRFY5377K0O4CMB5XZZ492XHB0RNDJIK2NT
182,OFXNB9O4BFATSCJ9VVLG0158ID7IJRCW3W7A0QDT8NLU6UWLQAEAMLNC7R82B,1994-11-26,IR1V,2,QR0IVR0B6XM1DI8XSXMID4G2GHORK704LWM4D9A00BZEPGE3BYJB0XMA5T6XV
183,19IKMCSZC6QSITE290UYF41POAZ0V556PCZIAY1TFVIG2N8X34KX162NZPQZQ,2013-07-18,Y0R,3,0PCEG3GE3Y55M7WUT7Q465TXPB2I2U3FPB1ZJ2YJEKTKAABNELJ6J1ZRHWFGH
184,U0W774QOR1HVTTCFQGJ8SOAX6YJ0K49MX3MBDYD3BF9ARIXDLTEOF59QMZLK2,2009-12-09,R5S,3,0PR4A5YF95VGOUL32IO8S1ZMKBYUI3JSTQZLC63A5IYWZ5MQJACTKDOQLVL2M
185,P0XSE3DV7DO4IE2HQ0OR7E8A4HOTJXUKYCQ8MTW9Z4OSV6PDU75XJ7CQSKSXU,2016-02-28,UAF,1,1D55RZ74S8N9A3OVVF0WIZ86SAIYXAWHWQ0U106VNYFE8YXP6UO4619LZQBDB
186,5DO0I73WOLOM5T9JD23B10W8Z6W429ZAWIVX40P9QGK9O3CV0IIHQ8Z79QIFB,2016-04-29,DH00AY842K,1,085UCYYHFUJVB4S1MIUFYMDH2NZ5LLSGO6OF2FR8S4MH8IUPX999WTXI93OBO
187,JM92IM3I7N4H1QYS74FVTB4Q98026NG7DFIVU44A33YAEZQKGW2WSOGS93EP4,1992-05-09,3Z08BU73,2,DY0FIO8ATHVH5YQLFS58EBFBJ30LM0WREYR5OO1OJECBRNHNWP3XGCOTJH87U
188,MIOOL880ZDWYAPAK4464RPDSE1WT2Y5TGCZ22T5XHALK9A2GZR85VKKID0CVJ,2010-06-13,P3ZBSZANK,3,GKAPO3W3IUN0V985X87XEXQJXBIB8AMWHND9WAWSXGNCEYKWW9Z80VWTO5V1I
189,TG9ARGEZI07P6013WMRTAQ0F1FCZDHON6PA3D1MS07AI8EZCHIU28JQFK7PWQ,1997-07-09,U,3,AOU5ELMO22H2U0RYVT01UKFNJ98ZFTR8IEOD5FJXNNL9UUX90S4EL5XJJW9MJ
190,7M5YOWH2AKSL72P6IAC1D3BUVVAEQGTMB87YDQY5RVLU8QQZEO2NL0FOPXCP0,2020-10-27,5VRVZX8JO,1,0R0ZGXWXF2EIXE1NW6U62ES41ITOWJ5GZF5RQOMHH9NNQI2KPSLGMDZEC9CHI
191,8EA5ATN0FI7V8R24B9PFJ1TQTQ321PGO4TKW2Q63HZ96J5AKYS90PS16YBEIM,2005-12-09,H,3,3LW95WVPLTK3CIHEK5N92CMHURN708EOEML9DXQNXHJCCTOTY09D3D4WDY5I4
192,N5BC9UJJKXCXXCNNPPVE04TI2VIVE7YKYG9AI4P0QRZYDM0VNBMR4JY5GBURB,2005-08-12,L3NXOVHL,2,3NFXP00IKJGYQ2IVY1JO2K2FUXF1FFH6JXXBJ9OY0829HROB5WGD4R7IABAIX
193,26P2PXQA0BFVY6F8QOKH4LWF6SW1XC80E4A52YOXCDG4AJ5NT92UVZ921ZK6W,2017-04-26,K2EO,2,WIFYA1T2J1PU8ADF017VO7CT8WVV43VB48ZUQSGH6JTDECOY5ZJQATFBVQNBL
194,XPXDVA2MRGMDP1MDJSCYH1GO8XFYD3IKQ2FK5385XXT25U8GQL0RK36XOO2MI,1992-09-30,NNUY2V4,3,JEDDNACZFZVRW4QXGAI1BQMSTZVVY3S9QINHBPI077EWJ6UW5YEOGLI2QHJE0
195,GCFNJK8TWJ3QQ0QJTICM3DQQFC25CEXMAMQK6H37S3Q5A2J0D8M7CRU4X4NME,2003-02-12,VWZZU1A,1,Y4QBKVR2PORB35D433WGIGM16BZR4CITFSYLG3BU8W0CKQFTR2IEVLGNLPREU
196,2L3ZUTWP19GHTCK354MP5H8KRKMFLM6LVZDWFUFK49E2OR803KW1Q3MAULYMY,2012-12-18,C,2,62773IWI3BOWV1WO08ZN78R0SRZ3IOURB3KWFO5AMHN9UH9UNOI5SO7MUWG2M
197,F3OAC911B0RMCJB1QLNZJM4CJHMK4ZI2ZDCS26OLW7ZU3J3NQJDJXMB8TXBQQ,1994-10-28,ASJ60XPDIG,3,1QDR2RFWPR3ZA14IGT23QWFEZ8CPCMA822APUAC9WFUKI51SGFKJZ0DSUNYSE
198,UAK59J24GZP6FYUY4Y81DTJDZL2HOZKQHCY25D5J8I3RN4SCX2FLI6AJ2IG4G,1998-05-19,UROL,3,XOARSDXFNSZOYY1N7OR1PO7W24IRZ6YWJ7Z6RJIPWOP20Z6J3W8KPZYPB6VVN
199,62WC10RGR68USEG70DWIUFPCCZE0SFIGXHFBTFDUTLPIJVE0JD8TH8JU4702Z,1999-05-10,KJPV,1,4VUI83REKY2HHUKIU83V7QLID9Q9B9M1WJRLXSIKJKD09C06YJB3ZBMJH6CAB
200,4YIJ2XOSIG6QJRUD6O72DVQHJJFSW3PCHL633AY7XXC63XZNIFV2Q35RLLR20,1996-06-12,N500,1,8656EMIWAU9CLO8D8R37URO9LRAOEEHYGKCXJKJ4WW362ADLFAMDL7OU2NH3W
201,EHXM5TCE3QCMJKHMKXGPYOJ0YOD6FFCORCEC75Z7PYATIJ3BRYFPVE6DH270N,2001-02-13,393G7V56,1,VCZ9F98OTOY1BLDCGFOK6IAB92IAOC5W0E2UHJ7F2MIC2153N2WK11SXGJ1WM
202,A7C4113L17QW6SUOWJGJVRDJZHOV812FU9MMNEHR200TJD1O688593LFBAUYG,2010-11-09,AP9FA4A,3,QIF5576ZX4ELH9KQ5RAEEF73OVWBNLHFZNVFU53T62Z4TCEVE1DMY703GS15V
203,ADOXVC4Y6UCEU0IT3GBEG5HERMHICNBVZXZHOW3SH5F5SWBMQ9QWER343OQ2O,2013-07-25,5BJPOH,2,A3RCL3BHMNUXQF2C5KCNT8ZIAKQIRK01RSU7RJERDI7AQ14NM1CY5351R20JI
204,THVYVM527JGGB6AVOA3851TCNUDEHCYONFVGE8CIAIFS84XU6G1GF2PV6CBK2,2020-12-26,MX72L,2,SLK6UUAV82Q0OS8M8YZTP1G9LSYGWRV2MI2LL2WND1588SNH83QENKDLCZ1QV
