id,DT_CONCESSAO_INSCRICAO,DT_INICIO_EXERCICIO,SQ_ESTABELECIMENTO,SQ_INSCRICAO_ESTABELECIMENTO,NU_INSCRICAO_ESTADUAL,SQ_ATIVIDADE_ECONOMICA,SQ_VERSAO_TABELA_ATIVIDADES,SQ_NIVEL_ATIVIDADE_ECONOMICA,IN_PRINCIPAL,NU_ORDEM,CO_ATIVIDADE_ECONOMICA,NO_ATIVIDADE_ECONOMICA
55,1996-10-13,2012-10-21,443284389,750345666,30014032,12482069,534470295,591919685,3,8,AHJSNZP,1G3WM2RWZLURM6WTXJHNCTKXIWZW484HAZ6A58MT0AXYLR5ZQ950OXZF039LJ9JF5OPJI1LKUQM2XVIQFXIS3HSALCGLHT6HMFMJNWNK274SIMYJ6DEZGC9IMYZUG0N52AKA4D3NXJPG3RCN0NGWCR7BW0OFOC5EQBTFC8TB85NR1ETS3RENQXTGCWA2NPHQF00473YD
56,2007-02-19,1990-11-03,661006185,71241220,29576636,313690857,113971154,769578727,9,3,OIJD32P,D2QPMT7AW8VKWPWRK8INCETLH51IK2JP08OBN2R3B5PA62M0ZI6JTXY7JAY44I5LWWJRGHTR6O7GB997UHRLXZ33770Z5XP5CLKWVKPYRWTDIWRTTYPTPQLD6L1JYPTR3J00YWXNMC8YKNCOJNGIROFJORQE3WCVM4FZR5YJNFFNDAT5XXMDWO9ZMKO861G0H4VT581B
57,2017-02-09,2015-08-25,454390064,999331318,65559309,446711454,464305801,577472022,6,1,GIQ7HBN,4I032LY4V9QP0L3QKJUJMYC6PGEER23P3XJF67HTSKNZLNXIU1NW0PC1CTUNWJSHE9K0P0CLGBZD5CGK0GKTELGVJG77N0QCZ3TBWPTK3Z9QBB5R1GGXRE5D5DWCV0V3C368CO7BTPJK6D42V67DNT4JLJYIG3444L4EAEZ70QUUX38T6KH3Q4ZPKVJ5IZCY5VKMUJD8
58,2012-10-30,2007-12-05,572112019,345616190,96717757,848558737,102279994,585879055,6,8,8SJYO0N,FTED6BFN6EZET6AAX7UMEN4SBEYEO0EOAVAJ5ZG1GQMA6KW630X22JYVC7QOL180ZEC33NX9MOJ6OOUJV1G0MGO0Z5YZ4MRN6K1U4L6P3RDEWI2XK20K22HGO05C9TNIB90WB4TWQ35BZXGU7PYMK1IML0M3PUWEHFUYOKYJROX11IKLKJAKQ13B99VM63LPP90E4QSV
59,1992-05-02,1993-04-09,378484938,919721231,80246203,230442912,575445658,248169242,1,1,1EKJVVM,9BU0MUQ4RUBE6JWIQSDDLB69CW12P8AWZU4UIZK063D8QLYZMAGGI56493A58RYAFJ5G5CR1P6M6V16SNJXC9W0LOIM0XZ74IRSH8CP6RZT66VC22X6O0RLSL6OH9WMX3411JFPKVH6AB8W2NIOQUIMRO7F740YX3HU08R521EZE6R758PM3IV3LBPYHWI3TQW7AJM11
60,2016-09-13,1998-12-05,815449757,271004481,85678776,670648732,231316489,525362204,7,9,FVI0JUT,Z9NL0ZVNGZON4IB1NKS5CAS0PNDK5BTC8Q1MMUD1YUQX9H1RSTOM20I71F118OV5K6TUHD0SM81IANT7IXUKC5HVT0LQNGUVVIO5HTG4L7MHIATPHHLEQ6Y3QLS9DASHYLTV0HRADZI42YGJWERSVCO7AK906QSKEH8YPEVF19XOS39P4H4RUILVN784BEAGLNRVGRMZ
61,2015-09-01,1996-01-28,435131092,822991436,73729688,208825816,882784642,38452639,8,5,KRUV50Y,Q5VJNYMBD029F3UCAM5KVCFPR46VO67DE4VVI2BML9HP2VDUHREGZJVW7WDBPTK2L0YUY84T3ICG5DEYGBV0IGM5YDVB7W3HIUKWCOTEO31OGIU4EZ3J6VMX4XV5OC451UCBKH0H1WSO9JNZU6YRYQ769N0YTYI0KQ3OQ92OMHLU35B44SETYHGMK9J4M19LRIPI6PME
62,2004-04-22,2005-10-29,738713938,226597785,56125943,999229797,981675041,336813124,0,4,1FE1XPF,QLYSLOM26WSHA6L5B3LQW9RKLT2HF1E22WNG92DZC0X1QWPI8LYHKFA6P60BLZ6YL2ZDQEJGCCHSRQ77WZI8IDCK9UM1JVUZTKGSPRB0UNM7AFJOZ1QEKSJI0Y4E7XET1SSJTK6DNR725B4HNYCQ97OXR07JIGLLZ6ZRXY532TV0R5WALVED5R3SCR4RCO3XTFDCJR20
63,2015-12-13,2000-07-14,179784881,177148463,84806193,94099229,358911506,716460043,7,3,6OFTQAA,LF9ZVRUYZIJCUTAZ4YDX6MF21LD0BUOP5D035C1JJ4RL4MR3RHAQM6VOUGHGZSDL46TIWNAAOAIMV7BVUAC6TM91M4KJPDDOK3FZVTRQD6RR1GX4D66YQICGFYM7EJBMWMLACZMCWK0D8RB441ZOOWIR5OHMDJEHBCJNR9VAAVJ003T5WCG5U0MTAQWQX324TW7F4EPF
64,2012-01-22,2019-05-19,678536476,52472346,19386653,927000096,192689621,432223633,6,4,APHX3M0,EM9TE2GZ43MJPA367NAIC00ZAW2C9UR793CE1P5QBH64JXYJUBRF15ACC05OX6BDMB9EIFUK2RYLWIKI5S0KCPEMSG1RSJGNFEFMBTT8TD6X9YBO5ZU77TOTG9UYD4ZNC9VBDWIC8CRJYBPV96WHNE00OD7616R22KMORS30NQ0F3XRMZESMP4LA3ONJRQBACJNU81AH
65,1992-04-05,1990-11-09,423544230,391455401,68772922,39779870,277595308,404380027,1,1,KIJOPD9,9R2IU5SC97I6U1CY9CV7JDY5QZ9UHUH98482GIKF9PDLDVBN8DTNUWPM6C81MHYH4XVLOPHZTU5N3Z34AN9NGHOHLXYUDIJYOY9Y058QJBIBTMGZ6YSHTPZLWMXDUHVLG3676RM2FS8U83PFWHPW4KQHGITAHMPYV6OS6WQ6K0831HX9AMM2TNBODSVBVST7OVXHO2E8
66,1998-06-11,2013-07-23,142341567,678106931,29642701,119219321,7095253,400573221,2,9,J1L3QU2,E54Q1BCSBRPX3YVAAOKVNLTW3QYEP3SDM9EQWL8FXWLR5YGUE5Y4OV824EH7T6WTQXXJCO72PG25S8OTVDNHR5BHIXBI4K6PPEF8I4DL50TFSMNSFZ1HRA6PX4E2IAPDMFUTAKQIPYKVVCFQ6LMU55G5SNNAIUSUFZECEM8H20W1Y30RV41T6BG8HZOGPFFPI2GWXT93
67,2008-11-04,2000-03-25,333096265,52858183,85058348,302766306,484205161,87855816,8,1,75947FC,67SQNRUCMJT2QKZUI9ARM1XBO1BQI8THNAAWIPJK5IB375B4FPYH9KF6VPNROOQJFGRQU975O9CL1DQDBIRAMXCUF3O8XC4ZY2B2AMFOUR7Z47AHEY15OUT2E9MVGU4QT2OWOVT8BR6OKPT06WXMRF2NF6SHN7MTY1NJVCGKPQ8230RMWC5I0RFTR93JI8Y4ODPTZXMK
68,1997-01-16,2020-07-10,880795784,856145728,93811858,813349612,411549725,784302848,8,9,LPT2EJA,5I9GELBK82C6I67GCRKEK3ZUJ1AHRVUL6EQRE8EB04QMRRTU6VVCH7US60C1LKEHR5DFPXLQK4JDO837278P8OFJKFR6AP9QFD2BMRBZ47Q63372XW0BEB1MAERHJDFHIZ51HUOWF3DLCX2V7QC2EQP45O2RDFC8DTGNBY5G3FJ93DQ8I7AEMWT1OL2IWP4A8JHED4WE
69,2020-07-23,1991-06-07,627677701,348172647,12417028,343120233,439130015,993015727,2,4,6UWAVDN,J76JMIZZOY163GRCAVUAO28KJQ7GTS8V1EUFM6ZC2WSZ68SDO9ALVXHMOADO6PXTNURO18B43H9DEYPB6MH1UB66Q27BESB58OFLRLC6YMIIUGU2KFOEZRSTFA3AZUHZUBSND1P19LNGBRJVLMFLOXYZAESZRQIKMSK8BGSZUJVZ4S9AAO7NL3LLCWAOMP33VWOEBHCK
70,2000-02-29,2014-10-13,53456918,769786363,65450665,659335816,437271514,197601592,9,8,5JTUKNW,NOK462TZ0KP1MJ71LAHBJDEU7PKRBQH1YA3MJL57VH0IYXIJXTFUNY90LVV63AEJEZG69L6IS93JVSR5RKI3T89TOY4UN7RB38OJV9XPZ0M2R92F2OQI351T5595GV4D63M8F483P7POZ04SSWNFC8SU99C75H90BZHYRCJX3MQ8CLFXB3EDJ6ATLXGE9BRAE41K2S6K
71,2020-11-08,2006-04-23,206762587,944942664,53698556,827912165,70671525,73978583,3,2,D9W2M07,2C7F0Y60HAS1A9E73O2O0UQNOGEQ9E48TXF8B3WHQK3QGH8IWI9ACTC509O7NIFRQGNC1AHZLJ5A6APVL2ZFCJZ8NOEZXQHURXBXMJC69EV4ARU2YCQWD153G1RNK2NSVOUEYYVD926CTOIUD11K6DXJFVLR1MP97JZ96PC8HB14BRA6FN62TBFA863065NPOCKWR1RX
72,2001-01-10,2002-01-31,909050792,271236610,35820884,581105693,133123894,822933103,2,4,928GLAJ,EA1A880JJV5EJYHA1IGKSF739HMJXXEC71NHG6W2OBFJOSEBRWFU6GWTD636C0P47CLNM0UOKK4CM23TUEZWBXI8Y38AZG7UL7W86FA61EDWGEIA5BRW5TZ91DY02JJWSSL1QFMXX9921URJVRK87JWD043UQC0L04Y9KH1PKJLBR7UTU4O1H8RXADH6LPVTPY4U9U33
73,1991-09-24,2012-03-11,430059931,306026875,33499069,689673613,698612598,523117980,5,2,NJYPSAJ,E78HD0OZHF1PBOZCS04W6CA75O0ET0VGZB6PC0TEWVKJ01GVTKEWWGSHSTM0DAOK61KQ4OR5JFVJA32USLIF8SRWT6K8NXB10V8I8T589D9O0B6S0D0JDKA5XLUMTUFU6R99MBYUMKJM3JO5RUPB9DI135H3YDIQDVJ4RXVH8AYSO3S3XJOHPF92RMTXW5WW6Q8WO4OJ
74,2017-08-07,1999-02-27,529102668,686972628,33998898,276426960,237205161,208307659,4,3,2RK7VOO,KNKEGDUM9MRJI6T98MPEFN8KZMLNNVQAA8R6UU4I1MCKZ03Q5K8KHFD9JUING4O156J77CRA412KRV8ZO28C62QZ7HEM19C1FL2KJLCHV5A2ZVT7SF2A4PN3JM2ALTEDWDX45TXDNJYHH932NO0UBLGZZVQ2RQIRRT1VS965LJTAB6FP7E5N0PDV5FZ9LA6HA32X0IOO
75,2004-08-07,2012-02-28,732268462,836391456,94460246,98023710,705037624,946361298,5,6,44OPT3F,LE3A7X5L13LD5FT1OI26TRMX9I5GQWWKTLDTJ1R1QMM6O751B89S1IQ3KS84UX7YSWDUH5DQ553QZ6PKI5PUPO490W1BYIO8ZNA3G6KR4YUA8ILGF1KIF48QPDBGVC2N4ND8KFRUIQMI0IPDIKJ92O81CSE0S7S975UCZTNGMVENDR5P5R471ZSKF3L237CNYAQD727C
76,2000-07-04,2001-12-04,555005763,956150375,84347512,213493351,812696246,455241763,1,6,32RVC5S,2XF6HOOYXQCRJLIEMAHYN5RH3PCCQ1TDTHN4QAENW4YYB3D8V4U99YXI3WGVCGT4MLFE7Y24H7IR6B9B60M4EXT4O689APFPL3J0KS6IBX441EOS1M4P3CJF7SC1YOMWAVOC61K26ZUPBNMTE09AEM805XMA2LMIPMKKKTIY4R7KWNMH91VMZ8QPOVMHFAJYCMMFWNZ6
77,1994-02-10,1995-11-14,237418775,129900688,83209891,665665164,530031710,127505654,2,8,3JH5JJA,IRL2A0VR8WO0CH6MAW2L9AIKKTQ3N821D5O6W1N5TZ4AUVLBSX0YE5C4X7JSODVY378691K0JF1RHMR600OWPRQWJ4S86QR2MJ7V6AWTNMJFLELBT53H0CIB7Y9TTZLK41J6OPEC49MRWRPPI0482TSGXWMALLPZD1XKCDHMTHT8ZA60EM4RSD2SKCCQ2418LXITEJ5X
78,2012-09-01,1999-01-27,53214667,632675628,24348431,53383223,729221789,218137799,9,9,9KIUYRQ,0E6D5LDCP1BFR2JJF3AJVCVZ96CW16DQZKAV3TPSIDB7GP4T8K1JNGFN2S0PHTUB4O70T9JPMTL1VO5HV4ZE2JY3RD2M1ERIT4IRHCS2UA4U6KLJL8UCO7B1NUOY5JOTO72HDRH4ZFI5O9G1DQ5LTK507IOSYRCF5C78E2F0AXATL8G5G53M4LTO9YF5KJ1NO3H7SIJA
79,2004-10-03,2008-09-04,795585794,480386287,56409186,207710316,84442046,46018336,6,7,CDLLUHP,REN85M6Z0VGNR768TJ1BJ46OFHG41VZ3XPMY36IPTV6XQ38QAM5T13ZBHK3M6JWLT2FVZ6BXSQ8886WL5V5YDW9VMEH94NS9TXBRGKLHR6YGJZYSHOTWMOZS8WD0H7PU8CN2OASIICW74EYPNE9SI8L02QZM2XIGLOT8Y79AN610N8N14O9RCDNCHBPYTIAUBKPLXBAA
80,2009-08-26,1996-06-04,832856967,976006578,42848392,457987109,570573966,594389147,1,1,XOIQMSP,O9B8TW786FACAD5VLIEEA49YVJEW52LBV5OW206QTD2OOZCAP114BI3E32PPYIACZZSP4AUW55VQL3N1GH83P852LIIJ34HNK6VV80NDGR94UXCBB15GEP7W73T0YTL325K9PD4EVHKSQDSWNM7R6JAQ9RKYY7IZB9G2OZ1BD6G91D5FNPQM3QKAG68RUSNPV78SCL7V
81,2007-05-11,1990-06-26,499096474,958574830,3418167,53812817,262922881,888726205,0,9,33ZS73B,YRC6M66OFEJ2799LIL30RJDA53FKM2CSJPOWMBN5TBKWTOBMZHEHAA8CP46070Z86H8TZFS84BSTT5P59WMMMGIS0OC30REN90N4V5U3G3EDR7BT45GBHHJXX2H0V9SMJTBJ9QP8VXWHCQII439BBPGP3BH5NO0I070OMELW0X40624Q4GE4O8ABA4V29PUJZZQ7TC71
82,2008-06-04,2017-07-04,18167695,929541580,70162554,369740603,499407708,273254972,7,9,OEF27RN,LQFWJSINHCFZUUENZ0R67QS0OX6YJJRB22TLZG0WKA4YG94UQAVECE4GCKA5X3XGSGDD7Q42X3XVLATE8PLTE3YH2S0SBWRX4T031XETLMTUMETEC0QD6WLJ2U91KTK1WQA9LU9X8YMIU2XK2PFPU9GMC3HTWYUXW52XR2DL1M6WR4C0T7VMF5DY5J79T27X8R9Z6TOD
83,1992-07-03,2001-09-28,523606214,990299715,26638120,579852142,32293239,538808562,7,3,CX7LXQQ,VAXJ859R72G2TVGH2135NO35PQTMOU8RB4T7RPL078FVB87E1567ODV4GMYLLI5GY63R8O3BQ0EZH2BCRJZ6S0MHFBEG9F5BCH443YKTR535HD5ALZSDQ5POY6QQHFSEFCHDB3E103MZUGQLIG5MYAE4MVPL39ZKZJ9ZUAYQHDFQXEIL4M2XRVA76WXH5QDWTZ4TKQE5
84,2002-02-17,1990-09-26,516436050,246502198,76387691,678044650,988946896,116952584,3,5,CGU9ZZ8,7633ZPTJ8DXNU1K8BF4UFNJO846PMSRUTNLQTP4JIOEMX7GDCUA0CIB2MIL6F1QM3V2VNNF5JJWM6F87VCVWB3KYG6K2VSQAHXF9OBECT6D8VFQFH99MVUHQWSDUYIWTL5DWC0RCHQ2L0QTEBVJIMKUSBGLF1ZN6X774AU96NDCM7XII0NM8WG2N1Z9YGH09LWKSQHZL
85,2010-04-19,1991-03-02,355585236,456731072,90467047,340077693,264382441,616946662,5,5,OZBGFN6,MNEUY65CSW911D0AP30K2E0HMD0OGTM9PG85GP8X4FJVJ1H1M2V96036L7C7QWBVVK5URFPJW1WKR254PVROYN96CRT033L4Y3VOQ00ZI9IOPURKCMWJKYW5VUASRW8QMRS3LGKWQ3JS1ARRAGIRJCXFIW0SPIBQOP49KXIME31PH2Q4HYOODGFV9QFIU4LFNE2ZG6ND
86,2004-05-20,2020-03-31,325659101,126695960,47541798,283861314,224033409,293560902,9,4,DWXJCD7,W5BNS3P2GG8NP8STC8WMW3IEXXOO5MR1D3IO4JAOTQGT31556XY68VG05E0A5T11MY7SGO12PAEZJMS3VV9DR16FD7E4OWP260VSNRUZQ5LUC8SROOJTXLFJRZCGPCUGG8FKTKF7QHA1OIOAC503V90KEG17IPLVVMF36OFTO1MGRFOD5LTOB7J2YF7U9D18MXCGT8UO
87,2019-01-18,2008-05-08,924872137,686629477,38884021,696180959,968296509,770163925,1,6,FLRSTFM,RCPDMW58DXOJ8K1R37L8GADUWPH3AL2Z9DPNKGH4PZGUT7YM6XQNDGR0X76BA6SB1L2VEPPDZQ31GID39TD9106Z8GE75QQYRX7Z5CM2XIO7QC049OW72M3HPY3IBU3QZC04BBAE4TDFCMRUS0N3T4JCCKMAID13IX0D91ZZ0U5C4CCQWD5W0L90QUCPLKNOM95JNQIJ
88,2000-09-01,1998-12-29,681879522,188741948,84653822,459748182,218747296,110589235,4,1,JAW9XQ3,HITPQUIHM269E8UA8Y8BA4QO5TLOJ6MIG8L9SN2ZVNFAW3H1SC5OTC34IZRX3I1CBDFQVQ35U81UV5V1O8SJ9J3I8RCYJLJGZJKLWE37ISH7VM12D2SN37N9NWMWJY002J7VP6ZG7U63K61H1XHS7SE683PZPW62SDWDKE31MA9INDWIUQKDAOWRIT95MCWEOGO855IK
89,2007-02-01,2001-08-05,628362164,975792671,76009337,685562322,20273712,267025540,4,6,OQJYS8P,PO7040JAA8DF3NV500GCFD63Q0Y0IERD9VLIYK4A5DGD0H5W5G45BW0AFLMN5J54ZKSZJPCJ55JSGBFNG6Z8R8XO72IFE9DBPF1WTDQRIDNGBBX6SNKO33VU2AS32ODBF0OYPA8G9HIHPFIV53ZFU0Y0JHM1FD6H1EVEKYLV6VXIT0CV93SZ15DTX8RUU1EGDS57DZ4Y
90,1996-09-20,2014-08-28,285856055,380596999,73132819,421110309,979678042,55210223,0,2,0NNBDNO,RE7EW60L0STHOK0ZC34B50CD3KYOLB77XUJM39XHXJNT69TRKHTWB9WUKMRW7XUS1MBTZX8AIJ4PN1AT4UTUNXFU4HA56U241QYSIR8Q3U2920L8P0DURHWWY5RW1B7KYV5579IT2SHQPIYZ1WQQDHSSTAFEW1JOJQ1LIIR3UEUBD6Y4ZN9VA5HHG6KADKJMOG8LMSZR
91,1997-07-09,2020-09-02,482907770,285506926,68541938,95634884,917867557,790958128,7,8,PYYPJRR,GAHX4SCEK41CG2AVPVCR6SV4OVJQNLTSSZCCJ0XL9FTKJMVGIUAZLOKNA5DRLSGCHA7WXUXYQ2I0HM90CIHUE1RIDNC26309UNNEG7V7XCVH1E49LPE8GWY62I8BO0PA8IYFADH8HHENM1C2DAGT8Q2CFVMO3L48R426LL8L7AH42GF3MR9P5SE9BJ1KI2R0G1WOR6OG
92,2010-02-16,1999-10-25,497429498,436886432,17951186,272928040,283430215,544674912,0,4,LY2DE9U,BKFQREYS8UR0DGNMEYH9OXNOHRPCQ9YMS264QP1Q96YF33U1H4R59XSEIB2O2B8SR9Z9I3FU2DQVM5OZ9DE3ZVREPN3R34VMUTOQX0H5PBH3JV0RBV29BXOFYDATDK3LSE27EUB8N1MNS6PVFWM3WEUJHM8JZIJVG2H6EXN0GBHMZ6CUIY4QK7JHKC0NX8OK47ALMJXW
93,2008-03-31,2002-10-29,370788470,907336640,18655140,331225361,205403408,863946119,6,3,ELBG4AL,PPFOIS6TSIOC8VC4B9CMSQ4DYZATR4TFCLL79YRUJEX5THW60V9JTDS6XXIKXKQC4Z0YUUV8JGJZP2E3IDOTY0C75DSYXH6ODA3BN7822PSFPLXDBLTRSLGGD5JE95WGRRW755TCUU0W14340X68UI3NPWOS8S12PPW59GNN38FBXC5SMTYCYDX497TU625SYPMVNH0F
94,2012-04-10,2014-09-24,649587378,313454853,49320444,751258780,356370849,962053363,6,5,M3CU3TY,TZYPAIZ8P84XLD378CA1XRDWU1BZ959D5QG5WOYXT12JRIUPUVJRIUHLWNZ0ML0VLHEMWUWWZU93ZN3HFJ8Q4CM2QGNFSET4VRYQS4YOQSN7PW2NZBWCNLZW0SEJQVXNHCVQW2ND3SFUM09Y5P94FBUHN9UP79COM1G1447PF8SEO7X12C1CYMW6K3RSHIZPD48PYHKI
95,2015-03-09,2011-07-16,295022736,843836671,83211909,513138499,112070917,583369210,8,7,QIJVO9C,3OQLA3586SQRWSITS45EAK0Y68LJRFFEUF6UX5N248698K4L8N0NCMQ7H20RNPD911LHV85EJACP95U997YJKLLS38G3OEZRKKZ0WW3JRTKG6WE8P49E3G3U0DUM1GD889WO2HTMGMDIL9GTTHIU38C3WXZX7QT8PH7MZH8U01WBXPBWSBSS7931CZUMP9J7742FY561
96,1993-02-26,2013-07-31,463079139,942556852,1968609,367670359,288364751,726669139,8,1,4TSHUG7,MME2SSMMBO9QM5U874GSFPJ1AGTL67QS9L63J5N8XF0V2XS7DVS249CO5KUCKHHBIHX5NX4L022LDPVRU3AVV0JTW4FVCDMH99QHYEFPYMB9IPO57NYLRA5EBX5VOYIYU3JG9C7XZACGZJ2JXDJP3FEBL6RJE68ATZ94EEE5YSNUFV3WFJD0ZAVI4VNSO3B4MLLENBUV
97,1993-10-11,2007-10-23,650336183,240522495,3175048,616290949,987875901,683821405,1,2,CCPEUWK,YGYL7QEZ4AGL0PKQ1D32NO1P7DN8S8VCS1DI4Z4GQ5AEJVKG6RSLB1T57V6F4NYV9V52W9SVRRS678WB6ODXBO8F9PD3U8IPGIYY98HBNRPTO0CO880CS1CJPXT1IRYUKOHBJ0N2TU33MZ39T6LCRUDHJBRQ6WRV8JF622DKT4X75NKK0CPV7WV1CMNGR3N0YE6XE5W8
98,1997-03-09,2001-03-10,630020644,745078896,34595641,883660755,158649831,650755044,5,2,ZJ5YT27,X6QPPW0PGJCUOTDALGYRIJ8HCA5168OJBYMUF748817T1M3J9DBEYHZ7C3DQVZ2VO45ENGDHKWPD74RG3YVEPCXLNO5P01TGWND3QAJN5V8PSEGZKFIN4SN08SPV38GY8SDMEEJPOEOKQE24ZM4CUTYGGHP2ON59MN3WWN9LM4VIF0ALI42X9KYQGPDS965CM92YO305
99,2012-12-16,1996-12-16,57297316,296659993,78145453,198993723,650117061,339014435,3,2,IBG224U,5MLF4AIJ57MLFT1TKPJTW2QTUOCZPARXU11CUFO1STY5WF3RADW00FSOQK5M3XHUTT53A1RYZ44MATCC59L2DD6QSENZZEDPYHH5SYFJUX9GG3IIXX4588KL9CNNRWRLJ4BB6XA9UUR0IP6CBPU41W5WIKX6N6QTGN7S4CZ4CK1XIRGI7WZ7FRGT51RRGQJCXAIE4QMH
100,1993-07-17,2010-12-15,521834957,741738939,39434758,10991667,806342137,418067825,7,8,7QZR8U0,L776BX09CC8PTQPGW41E5PK2O3ABS50JQTR7AAEBQW964WI3J4UIU5E5X9U3X9SQPI3EID4SZYGPX9CACRIJY9K8J7ZW1XK1FAPBLWT2XXUXIKYMCFVOWCC8HRO6HSDO2GYEBSN035L06LCOL3QLIW3UE2ZIVJRZINELD7FCBLIV0BPNOPPFFQT3G3U8VF5RNR8OEPAA
101,1992-12-24,1990-06-14,663031619,749826196,18975894,177529049,618068496,119734799,7,3,VDLDEF9,RZ8PKKJJIBSK8JN653II9R12SS082ITPEUNMDW5ATA80PWNHWLM615YQ0S2TKHFC57TP56X9AUYU6XEFN4EYB8A2QBBOZN0RE6GVBU4075CURHJZKNLCIQ7YRQQZIGZKNKIFTRASVKPDDRNIBL7RBQ14BKHNOE9WKAZSW9DDG6UO18X193QOET6H4GXGWLNGZGOYKIEB
102,2012-11-06,2013-03-25,989843571,303590495,53795677,803768380,136740605,140427592,0,9,NRUL63A,3SDA5YKXXHXT3KU7VXMMZME9TKI0Z9WE7EK2HSO1BD6RVJKX8G3PBVR39111XY16O2QN0YKN10DTQ7TAC4U5R0TBS09T5N8Q9V72UQGIFKW6FKG6B3KIIQWGQBN7V9WEJMSU1VEQZLUCWYVT6L7D5V6ODQVY4VFJLSF3QPDRXGSXQVUP3EJGA9TM1PMRWS8G5FJ8XD0W
103,2009-11-27,2011-07-20,252429107,158144314,67032434,609094688,703055889,261856120,8,7,PAQI2NG,5DP7ZZRFPPP4ATXXO2ZZVLKKQFDVPVXBLM8J4MOYR5VCWPYGYYL718DESR8MVBDYH271KO3L5TMWBI2L7HXHCWU1RA2B2JNJSJQIYT2MIG3OJFOTW2AAHW3WYJGZ9E4VGEIXL1UTKKYEW9HZAOPORKZZH3NECF0XYR83YWCY8EZKCXS7OBVWWSN329RUJVOUKHJ1XXXP
104,2009-06-28,1991-05-30,669582774,292409615,78681691,991079033,610907938,485711347,8,6,W58K8H4,DE9HXRDI2ZG64BB1MBFGJ7TPQCW22V36T7KYKQEWSZYX1XRS68I9L7772ISTBXIQRDXA0CYLTAFGSX32AT7TUC77N6LICAFZRXRMGNWA60XTGQQGOMPOZPMDJ92K7I54DBSSL5PM1EFQQPYDT1JI6VKINJ72C4MENJNKRG06GBZRB0HIEXZ97ANIPA4BMI3I3SM01ETI
105,1999-07-01,1993-05-24,109186049,705371677,80673379,415379809,899812436,682039667,0,7,LIKQASU,V29ZJRA4FYSX827G0AII42M3KK0JM1H9OTS2XGJWJ0HIHJZG8S03II6BXZ0XW5TW843HLZZ43E79A6MJCV2R117NJIFV0R60O4RHMQAEJ74JZEXYJFIALFMDOTVEPBDF0WCRIH3HCKMLFJVDM0USLJVE21O1GUWW1BWG2TOQPF6TMAJKHB2URAP3AE1C4C1A60DI7MHP
106,2013-11-23,2009-05-07,740148309,949808986,3499254,391263121,874472046,553592166,4,2,YYH1N0K,D66T70FPI7G4YEMP4E8GJYXLJ4K9CBJGCWC9F8V7KGD5D34AUMFQ9FBO2ALVFBISXFGVDR3EB7JX488G1JDSBG5X37OQ03CLQ0N0Q3ZSBT13O10EN0W3OC9W84ZL5G3U7XE5UUK6893XGQ9ONEPA8OBRNTO7SJUNXJ7S6PUUM044VBGV0DYFKZA5QNQH7BYWM6CWUT9J
107,2015-03-18,2013-06-25,73713305,416080928,95624989,211537316,900783014,356125889,4,8,QNKWB19,UO73HDHPD1468ZPP14UEZ9PGBVT9W045Q5WFU8262ZNKBDGKO9KNBDLB1HZOSOTB1ULOZJAOG7XTCA9UX68CH7GHOHVVTNX841U9BXJAUEBYA3SO5IQXGKKJLEO39WS8C07B9W57GXIVWH8K6J0UG9X30H9GTQ6S3D14JWK4OSNTIFTJ8MSRW682RSVR6YU7IXM5O3TK
108,2005-08-27,2000-08-22,412429085,6616372,36506067,583533744,268635237,856881451,2,2,QY4T3Q0,YRSHB52S9MEY6IF2N0Q9ZRQ61M9IQPXJFM6LV078QE2GHZEVYKAB9NU67KJKEEG4M9MOS60QKXJ1CSWME8PJE6Y20ZU42LW033ON6O3L9VWTDN9NME37B8NHNY4OZDR7OBU1W90D10W6PME5A9OD9JZELYJWZ7069B8FDQK23LMVY1RZG1W9GLQLKHPZV05T1ZQMVRFU
109,2016-08-30,2006-07-13,458546937,632596685,8679380,473279942,199809211,596200974,4,3,C0VFNNS,OOPSAYHFGPVRGC0RWHV3O04AUCQ7WRB99DLBZBYEEVNSRF3W648KQTLLX1O3HHZP8ZMR4D9QZ8RMYWUF4S5E6GP3GG1IRH62BE1L43YVY9BZ8UC3MTF6USI63W6XNJ9YHV4XXG9UTY3QGGP2WX1HRJX3OY3L2WKUKJ4QY0YA5XKJV8KHK8D1OYJ3R8QMAUIQJJR8I145
110,1996-09-17,1990-01-16,771745417,218708092,56893983,900356886,336605550,56805836,9,9,Y2PUA8E,FBBYK70DX2NSJIHQ8D1CQUYIO3V41X9J3DNIHOR36PDFWV177WHHRO3P1GVGTX4PD8MW2LPYXTJGP4689F7CAF8K2XKYCE5KF7R3BAOQQOH9DGGJTGSIDZPQDDMWH0OBLVODZ5VLQPF3945SJ8JGUNU0L6TYHGTQQ0XM8PKFX2WMRPGYXMMSJIYW60JGAY0EF4NGMKX8
111,1995-08-12,2009-11-21,543505216,787313774,22398491,183940738,749708825,893249378,3,5,7X0GU7P,3F4OXOQTA5V11QVZS76YRPQQGIO1ROP5OBIJM4IJU0FHM42ZD8TU4873CKKCN4XEWL1U56DD5B49Y6KQ775NM50QEO0CQZQL75CE5EVL08YA9TGSFA38QA30AL2CLEA0JXXDYW4FH3EM2ES9L3RFRKHMRTMAL835CU4FP304Y3KKI8PCCFGEBNFLCD9K3AB4IWK5U189
